"sender" "receiver" "channel" "packetnum" "rssi"
0 10 11 1 -66
0 10 11 2 -66
0 10 11 3 -66
0 10 11 4 -66
0 10 11 5 -66
0 10 11 6 -66
0 10 11 7 -66
0 10 11 8 -66
0 10 11 9 -66
0 10 11 10 -66
0 10 12 1 -59
0 10 12 2 -59
0 10 12 3 -59
0 10 12 4 -59
0 10 12 5 -59
0 10 12 6 -59
0 10 12 7 -59
0 10 12 8 -59
0 10 12 9 -59
0 10 12 10 -59
0 10 13 1 -57
0 10 13 2 -57
0 10 13 3 -57
0 10 13 4 -57
0 10 13 5 -57
0 10 13 6 -57
0 10 13 7 -57
0 10 13 8 -57
0 10 13 9 -57
0 10 13 10 -57
0 10 14 1 -50
0 10 14 2 -50
0 10 14 3 -50
0 10 14 4 -50
0 10 14 5 -50
0 10 14 6 -50
0 10 14 7 -50
0 10 14 8 -50
0 10 14 9 -50
0 10 14 10 -50
0 10 15 1 -63
0 10 15 2 -63
0 10 15 3 -63
0 10 15 4 -63
0 10 15 5 -63
0 10 15 6 -63
0 10 15 7 -63
0 10 15 8 -63
0 10 15 9 -63
0 10 15 10 -63
0 10 16 1 -50
0 10 16 2 -50
0 10 16 3 -50
0 10 16 4 -50
0 10 16 5 -50
0 10 16 6 -50
0 10 16 7 -50
0 10 16 8 -50
0 10 16 9 -50
0 10 16 10 -50
0 10 17 1 -55
0 10 17 2 -55
0 10 17 3 -55
0 10 17 4 -55
0 10 17 5 -55
0 10 17 6 -55
0 10 17 7 -55
0 10 17 8 -55
0 10 17 9 -55
0 10 17 10 -55
0 10 18 1 -47
0 10 18 2 -47
0 10 18 3 -47
0 10 18 4 -47
0 10 18 5 -47
0 10 18 6 -47
0 10 18 7 -47
0 10 18 8 -47
0 10 18 9 -47
0 10 18 10 -47
0 10 19 1 -49
0 10 19 2 -49
0 10 19 3 -49
0 10 19 4 -49
0 10 19 5 -49
0 10 19 6 -49
0 10 19 7 -49
0 10 19 8 -49
0 10 19 9 -49
0 10 19 10 -49
0 10 20 1 -47
0 10 20 2 -47
0 10 20 3 -47
0 10 20 4 -47
0 10 20 5 -47
0 10 20 6 -47
0 10 20 7 -47
0 10 20 8 -47
