"sender" "receiver" "channel" "packetnum" "rssi"
0 1 11 1 -78
0 1 11 2 -64
0 1 11 3 -59
0 1 11 4 -54
0 1 11 5 -59
0 1 11 6 -64
0 1 11 7 -58
0 1 11 8 -66
0 1 11 9 -53
0 1 11 10 -65
0 1 11 11 -54
0 1 11 12 -53
0 1 11 13 -58
0 1 11 14 -55
0 1 11 15 -53
0 1 11 16 -57
0 1 11 17 -72
0 1 11 18 -53
0 1 11 19 -57
0 1 11 20 -57
0 1 11 21 -62
0 1 11 22 -54
0 1 11 23 -65
0 1 11 24 -55
0 1 11 25 -55
0 1 11 26 -57
0 1 11 27 -50
0 1 11 28 -59
0 1 11 29 -65
0 1 11 30 -51
0 1 11 31 -58
0 1 11 32 -63
0 1 11 33 -57
0 1 11 34 -73
0 1 11 35 -59
0 1 11 36 -56
0 1 11 37 -60
0 1 11 38 -60
0 1 11 39 -62
0 1 11 40 -62
0 1 12 1 -76
0 1 12 2 -59
0 1 12 3 -58
0 1 12 4 -53
0 1 12 5 -59
0 1 12 6 -57
0 1 12 7 -61
0 1 12 8 -67
0 1 12 9 -56
0 1 12 10 -61
0 1 12 11 -53
0 1 12 12 -60
0 1 12 13 -58
0 1 12 14 -61
0 1 12 15 -56
0 1 12 16 -61
0 1 12 17 -64
0 1 12 18 -59
0 1 12 19 -58
0 1 12 20 -57
0 1 12 21 -58
0 1 12 22 -56
0 1 12 23 -53
0 1 12 24 -61
0 1 12 25 -58
0 1 12 26 -60
0 1 12 27 -59
0 1 12 28 -65
0 1 12 29 -57
0 1 12 30 -55
0 1 12 31 -57
0 1 12 32 -59
0 1 12 33 -54
0 1 12 34 -52
0 1 12 35 -57
0 1 12 36 -57
0 1 12 37 -54
0 1 12 38 -56
0 1 12 39 -62
0 1 12 40 -61
0 1 13 1 -54
0 1 13 2 -54
0 1 13 3 -56
0 1 13 4 -53
0 1 13 5 -56
0 1 13 6 -53
0 1 13 7 -60
0 1 13 8 -54
0 1 13 9 -56
0 1 13 10 -51
0 1 13 11 -63
0 1 13 12 -57
0 1 13 13 -52
0 1 13 14 -57
0 1 13 15 -61
0 1 13 16 -59
0 1 13 17 -53
0 1 13 18 -67
0 1 13 19 -70
0 1 13 20 -60
0 1 13 21 -55
0 1 13 22 -58
0 1 13 23 -59
0 1 13 24 -57
0 1 13 25 -59
0 1 13 26 -64
0 1 13 27 -66
0 1 13 28 -62
0 1 13 29 -57
0 1 13 30 -52
0 1 13 31 -55
0 1 13 32 -52
0 1 13 33 -69
0 1 13 34 -55
0 1 13 35 -58
0 1 13 36 -68
0 1 13 37 -60
0 1 13 38 -57
0 1 13 39 -56
0 1 13 40 -55
0 1 14 1 -61
0 1 14 2 -66
0 1 14 3 -58
0 1 14 4 -57
0 1 14 5 -67
0 1 14 6 -53
0 1 14 7 -75
0 1 14 8 -53
0 1 14 9 -67
0 1 14 10 -54
0 1 14 11 -55
0 1 14 12 -52
0 1 14 13 -58
0 1 14 14 -52
0 1 14 15 -56
0 1 14 16 -53
0 1 14 17 -70
0 1 14 18 -65
0 1 14 19 -63
0 1 14 20 -58
0 1 14 21 -55
0 1 14 22 -60
0 1 14 23 -63
0 1 14 24 -51
0 1 14 25 -57
0 1 14 26 -60
0 1 14 27 -61
0 1 14 28 -61
0 1 14 29 -57
0 1 14 30 -59
0 1 14 31 -72
0 1 14 32 -54
0 1 14 33 -60
0 1 14 34 -56
0 1 14 35 -64
0 1 14 36 -58
0 1 14 37 -56
0 1 14 38 -83
0 1 14 39 -56
0 1 14 40 -56
0 1 15 1 -57
0 1 15 2 -58
0 1 15 3 -64
0 1 15 4 -66
0 1 15 5 -62
0 1 15 6 -53
0 1 15 7 -57
0 1 15 8 -58
0 1 15 9 -53
0 1 15 10 -54
0 1 15 11 -55
0 1 15 12 -55
0 1 15 13 -58
0 1 15 14 -54
0 1 15 15 -59
0 1 15 16 -53
0 1 15 17 -75
0 1 15 18 -62
0 1 15 19 -55
0 1 15 20 -55
0 1 15 21 -66
0 1 15 22 -52
0 1 15 23 -55
0 1 15 24 -68
0 1 15 25 -55
0 1 15 26 -55
0 1 15 27 -67
0 1 15 28 -53
0 1 15 29 -67
0 1 15 30 -60
0 1 15 31 -60
0 1 15 32 -48
0 1 15 33 -52
0 1 15 34 -63
0 1 15 35 -56
0 1 15 36 -54
0 1 15 37 -62
0 1 15 38 -52
0 1 15 39 -63
0 1 15 40 -73
0 1 16 1 -52
0 1 16 2 -62
0 1 16 3 -65
0 1 16 4 -54
0 1 16 5 -63
0 1 16 6 -58
0 1 16 7 -53
0 1 16 8 -55
0 1 16 9 -56
0 1 16 10 -52
0 1 16 11 -58
0 1 16 12 -60
0 1 16 13 -66
0 1 16 14 -60
0 1 16 15 -64
0 1 16 16 -58
0 1 16 17 -66
0 1 16 18 -58
0 1 16 19 -56
0 1 16 20 -57
0 1 16 21 -55
0 1 16 22 -55
0 1 16 23 -54
0 1 16 24 -54
0 1 16 25 -60
0 1 16 26 -74
0 1 16 27 -58
0 1 16 28 -60
0 1 16 29 -65
0 1 16 30 -60
0 1 16 31 -57
0 1 16 32 -63
0 1 16 33 -57
0 1 16 34 -56
0 1 16 35 -52
0 1 16 36 -64
0 1 16 37 -55
0 1 16 38 -62
0 1 16 39 -56
0 1 16 40 -57
0 1 17 1 -56
0 1 17 2 -60
0 1 17 3 -63
0 1 17 4 -56
0 1 17 5 -58
0 1 17 6 -66
0 1 17 7 -55
0 1 17 8 -54
0 1 17 9 -68
0 1 17 10 -57
0 1 17 11 -62
0 1 17 12 -64
0 1 17 13 -53
0 1 17 14 -61
0 1 17 15 -61
0 1 17 16 -62
0 1 17 17 -63
0 1 17 18 -61
0 1 17 19 -51
0 1 17 20 -54
0 1 17 21 -57
0 1 17 22 -51
0 1 17 23 -53
0 1 17 24 -62
0 1 17 25 -62
0 1 17 26 -53
0 1 17 27 -64
0 1 17 28 -59
0 1 17 29 -67
0 1 17 30 -64
0 1 17 31 -62
0 1 17 32 -53
0 1 17 33 -62
0 1 17 34 -61
0 1 17 35 -63
0 1 17 36 -59
0 1 17 37 -60
0 1 17 38 -60
0 1 17 39 -60
0 1 17 40 -57
0 1 18 1 -52
0 1 18 2 -56
0 1 18 3 -56
0 1 18 4 -57
0 1 18 5 -55
0 1 18 6 -68
0 1 18 7 -65
0 1 18 8 -56
0 1 18 9 -53
0 1 18 10 -66
0 1 18 11 -51
0 1 18 12 -58
0 1 18 13 -57
0 1 18 14 -63
0 1 18 15 -61
0 1 18 16 -59
0 1 18 17 -60
0 1 18 18 -69
0 1 18 19 -55
0 1 18 20 -55
0 1 18 21 -65
0 1 18 22 -59
0 1 18 23 -73
0 1 18 24 -54
0 1 18 25 -64
0 1 18 26 -59
0 1 18 27 -57
0 1 18 28 -59
0 1 18 29 -54
0 1 18 30 -75
0 1 18 31 -56
0 1 18 32 -59
0 1 18 33 -52
0 1 18 34 -62
0 1 18 35 -61
0 1 18 36 -73
0 1 18 37 -66
0 1 18 38 -55
0 1 18 39 -59
0 1 18 40 -59
0 1 19 1 -53
0 1 19 2 -51
0 1 19 3 -54
0 1 19 4 -64
0 1 19 5 -72
0 1 19 6 -61
0 1 19 7 -57
0 1 19 8 -61
0 1 19 9 -53
0 1 19 10 -59
0 1 19 11 -55
0 1 19 12 -55
0 1 19 13 -50
0 1 19 14 -60
0 1 19 15 -53
0 1 19 16 -64
0 1 19 17 -65
0 1 19 18 -60
0 1 19 19 -55
0 1 19 20 -60
0 1 19 21 -56
0 1 19 22 -60
0 1 19 23 -56
0 1 19 24 -65
0 1 19 25 -56
0 1 19 26 -50
0 1 19 27 -52
0 1 19 28 -60
0 1 19 29 -52
0 1 19 30 -62
0 1 19 31 -54
0 1 19 32 -69
0 1 19 33 -52
0 1 19 34 -56
0 1 19 35 -62
0 1 19 36 -60
0 1 19 37 -62
0 1 19 38 -55
0 1 19 39 -53
0 1 19 40 -58
0 1 20 1 -55
0 1 20 2 -61
0 1 20 3 -65
0 1 20 4 -54
0 1 20 5 -57
0 1 20 6 -62
0 1 20 7 -58
0 1 20 8 -56
0 1 20 9 -67
0 1 20 10 -54
0 1 20 11 -64
0 1 20 12 -61
0 1 20 13 -60
0 1 20 14 -61
0 1 20 15 -59
0 1 20 16 -70
0 1 20 17 -56
0 1 20 18 -55
0 1 20 19 -54
0 1 20 20 -56
0 1 20 21 -58
0 1 20 22 -55
0 1 20 23 -71
0 1 20 24 -60
0 1 20 25 -57
0 1 20 26 -68
0 1 20 27 -52
0 1 20 28 -61
0 1 20 29 -58
0 1 20 30 -60
0 1 20 31 -60
0 1 20 32 -57
0 1 20 33 -56
0 1 20 34 -54
0 1 20 35 -64
0 1 20 36 -61
0 1 20 37 -58
0 1 20 38 -63
0 1 20 39 -51
0 1 20 40 -62
0 1 21 1 -58
0 1 21 2 -56
0 1 21 3 -56
0 1 21 4 -60
0 1 21 5 -52
0 1 21 6 -65
