"expNo" "verdict" "rank" "JP1" "JP2" "JP3" "JP4" "JP5" "JP6" "JP7" "JP8" "JP9" "JP10"
1 0 1 1 0.741824440619621 0.400409469640709 0.396119368180273 0.334051368588646 0.332858327986543 0.332858327986543 0.332858327986543 0.191021789600525 0.191021789600525
1 1 2 1 0.741824440619621 0.400409469640709 0.396119368180273 0.334051368588646 0.332858327986543 0.332858327986543 0.332858327986543 0.141836538386018 0.141836538386018
2 1 1 1 0.705035971223022 0.354567508783671 0.35125379374831 0.293499059350232 0.293499059350232 0.259300791372845 0.251062793462361 0.150715164593918 0.150715164593918
2 0 2 1 0.705035971223022 0.354567508783671 0.35125379374831 0.293499059350232 0.293499059350232 0.259300791372845 0.251062793462361 0.100347628868444 0.100347628868444
3 1 1 1 0.711340206185567 0.310480329157228 0.293847454380948 0.246697146514664 0.246697146514664 0.217545341904364 0.205352535130963 0.107377839640119 0.107377839640119
3 0 2 1 0.711340206185567 0.310480329157228 0.293847454380948 0.246697146514664 0.246697146514664 0.217545341904364 0.205352535130963 0.0979746954908435 0.0979746954908435
4 1 1 1 0.798816568047337 0.340344979944034 0.340344979944034 0.276497317039804 0.276497317039804 0.24043244959983 0.210886219234259 0.11891092112586 0.11891092112586
4 0 2 1 0.798816568047337 0.340344979944034 0.340344979944034 0.276497317039804 0.276497317039804 0.24043244959983 0.210886219234259 0.0919752981083995 0.0919752981083995
5 1 1 1 0.691588785046729 0.320198581175481 0.307698336264727 0.278148038727108 0.278148038727108 0.244705019408013 0.215937613852607 0.121275414956222 0.121275414956222
5 0 2 1 0.691588785046729 0.320198581175481 0.307698336264727 0.278148038727108 0.278148038727108 0.244705019408013 0.215937613852607 0.0946621988963845 0.0946621988963845
6 1 1 1 0.705607476635514 0.322103270361433 0.280048243964094 0.241899257170224 0.241899257170224 0.207918972087898 0.171227388778269 0.0884674842021056 0.0884674842021056
6 0 2 1 0.705607476635514 0.322103270361433 0.280048243964094 0.241899257170224 0.241899257170224 0.207918972087898 0.171227388778269 0.0827599045761632 0.0827599045761632
7 0 1 1 0.713629402756508 0.332043222848301 0.326887272182955 0.272815693325624 0.272389418804803 0.2382874571391 0.193713291457665 0.101699478015274 0.101699478015274
7 1 2 1 0.713629402756508 0.332043222848301 0.326887272182955 0.272815693325624 0.272389418804803 0.2382874571391 0.193713291457665 0.0920138134423908 0.0920138134423908
8 0 1 1 0.694656488549618 0.323119020989652 0.303434206932333 0.249361248112285 0.24897162116211 0.218091420087739 0.175252033999076 0.0934504937572624 0.0934504937572624
8 1 2 1 0.694656488549618 0.323119020989652 0.303434206932333 0.249361248112285 0.24897162116211 0.218091420087739 0.175252033999076 0.0818015402418141 0.0818015402418141
9 0 1 1 0.7046875 0.328717201166181 0.31059121540888 0.253689008005726 0.253689008005726 0.222223704687187 0.182751801896595 0.0970197065951043 0.0970197065951043
9 1 2 1 0.7046875 0.328717201166181 0.31059121540888 0.253689008005726 0.253689008005726 0.222223704687187 0.182751801896595 0.0857320953014912 0.0857320953014912
10 0 1 1 0.706708268330733 0.319223337115302 0.290721253444293 0.239106099190906 0.239106099190906 0.209357284361555 0.165237695576637 0.0873782791970991 0.0873782791970991
10 1 2 1 0.706708268330733 0.319223337115302 0.290721253444293 0.239106099190906 0.239106099190906 0.209357284361555 0.165237695576637 0.0778594163795379 0.0778594163795379
11 0 1 1 0.69375 0.296748554913295 0.296285608649779 0.233398777184228 0.233398777184228 0.204405140266933 0.158230976349884 0.0889327385324168 0.0889327385324168
11 1 2 1 0.69375 0.296748554913295 0.296285608649779 0.233398777184228 0.233398777184228 0.204405140266933 0.158230976349884 0.0692982378174676 0.0692982378174676
12 0 1 1 0.70606531881804 0.313354637169966 0.30474336469812 0.240699977758741 0.240699977758741 0.211346321934504 0.164867670222767 0.0869390816388888 0.0869390816388888
