"expNo" "verdict" "rank" "P1" "P2" "P3" "P4" "P5" "P6" "P7" "P8" "P9" "P10"
1 1 1 1 1 0.666666666666667 1 1 0.666666666666667 1 1 1 1
1 0 2 1 1 0.666666666666667 1 1 0.333333333333333 1 1 1 1
2 1 1 1 0.796852646638054 0.549497847919656 0.9359375 0.934579439252336 0.52332361516035 1 0.874804381846635 0.5046875 1
2 0 2 1 0.796852646638054 0.549497847919656 0.9359375 0.934579439252336 0.52332361516035 1 0.874804381846635 0.4953125 1
3 1 1 1 0.779829545454545 0.543884892086331 0.9359375 0.935837245696401 0.51878612716763 0.996879875195008 0.882179675994109 0.527439024390244 1
3 0 2 1 0.779829545454545 0.543884892086331 0.9359375 0.935837245696401 0.51878612716763 0.996879875195008 0.882179675994109 0.472560975609756 1
4 1 1 1 0.783898305084746 0.54585152838428 0.9375 0.9375 0.527326440177253 1 0.879336349924585 0.53003003003003 1
4 0 2 1 0.783898305084746 0.54585152838428 0.9375 0.9375 0.527326440177253 1 0.879336349924585 0.46996996996997 1
5 1 1 1 0.80316091954023 0.543352601156069 0.937402190923318 0.9375 0.53422619047619 1 0.879699248120301 0.529500756429652 1
5 0 2 1 0.80316091954023 0.543352601156069 0.937402190923318 0.9375 0.53422619047619 1 0.879699248120301 0.470499243570348 1
6 1 1 1 0.784900284900285 0.558073654390935 0.9375 0.9359375 0.522561863173217 1 0.878234398782344 0.522796352583587 1
6 0 2 1 0.784900284900285 0.558073654390935 0.9375 0.9359375 0.522561863173217 1 0.878234398782344 0.477203647416413 1
7 1 1 1 0.807525325615051 0.556348074179743 0.9375 0.933125972006221 0.534918276374443 1 0.881305637982196 0.512383900928793 1
7 0 2 1 0.807525325615051 0.556348074179743 0.9375 0.933125972006221 0.534918276374443 1 0.881305637982196 0.487616099071207 1
8 1 1 1 0.818448023426061 0.555869872701556 0.9375 0.934477379095164 0.519536903039074 1 0.878603945371775 0.520610687022901 1
8 0 2 1 0.818448023426061 0.555869872701556 0.9375 0.934477379095164 0.519536903039074 1 0.878603945371775 0.479389312977099 1
9 1 1 1 0.809248554913295 0.549356223175966 0.9375 0.9375 0.52332361516035 1 0.882005899705015 0.505327245053272 1
9 0 2 1 0.809248554913295 0.549356223175966 0.9375 0.9375 0.52332361516035 1 0.882005899705015 0.494672754946728 1
10 1 1 1 0.797704447632712 0.551192145862553 0.938871473354232 0.93603744149766 0.520289855072464 1 0.88112927191679 0.513803680981595 1
10 0 2 1 0.797704447632712 0.551192145862553 0.938871473354232 0.93603744149766 0.520289855072464 1 0.88112927191679 0.486196319018405 1
11 1 1 1 0.803468208092486 0.562942008486563 0.9375 0.93603744149766 0.520231213872832 1 0.882005899705015 0.510835913312694 1
11 0 2 1 0.803468208092486 0.562942008486563 0.9375 0.93603744149766 0.520231213872832 1 0.882005899705015 0.489164086687306 1
12 0 1 1 0.802877697841727 0.561354019746121 0.939252336448598 0.9375 0.520984081041968 1 0.882615156017831 0.5015625 1
12 1 2 1 0.802877697841727 0.561354019746121 0.939252336448598 0.9375 0.520984081041968 1 0.882615156017831 0.4984375 1
13 1 1 1 0.796269727403156 0.552742616033755 0.937597503900156 0.9375 0.511428571428571 1 0.882005899705015 0.50693374422188 1
13 0 2 1 0.796269727403156 0.552742616033755 0.937597503900156 0.9375 0.511428571428571 1 0.882005899705015 0.49306625577812 1
14 1 1 1 0.801438848920863 0.562587904360056 0.938967136150235 0.93603744149766 0.517985611510791 1 0.880774962742176 0.519083969465649 1
