"expNo" "verdict" "rank" "P1" "P2" "P3" "P4" "P5" "P6" "P7" "P8" "P9" "P10"
1 0 1 1 0.741824440619621 0.539763113367174 0.989285714285714 0.84330985915493 0.996428571428571 1 1 0.573883161512027 1
1 1 2 1 0.741824440619621 0.539763113367174 0.989285714285714 0.84330985915493 0.996428571428571 1 1 0.426116838487972 1
2 1 1 1 0.705035971223022 0.502906976744186 0.990654205607477 0.835575485799701 1 0.883480825958702 0.968229954614221 0.600308641975309 1
2 0 2 1 0.705035971223022 0.502906976744186 0.990654205607477 0.835575485799701 1 0.883480825958702 0.968229954614221 0.399691358024691 1
3 1 1 1 0.711340206185567 0.436472346786248 0.946428571428571 0.839541547277937 1 0.881831610044313 0.943952802359882 0.522895125553914 1
3 0 2 1 0.711340206185567 0.436472346786248 0.946428571428571 0.839541547277937 1 0.881831610044313 0.943952802359882 0.477104874446086 1
4 1 1 1 0.798816568047337 0.42606149341142 1 0.812403100775194 1 0.869565217391304 0.877112135176651 0.56386292834891 1
4 0 2 1 0.798816568047337 0.42606149341142 1 0.812403100775194 1 0.869565217391304 0.877112135176651 0.43613707165109 1
5 1 1 1 0.691588785046729 0.462989840348331 0.960960960960961 0.903963414634146 1 0.879765395894428 0.882440476190476 0.561622464898596 1
5 0 2 1 0.691588785046729 0.462989840348331 0.960960960960961 0.903963414634146 1 0.879765395894428 0.882440476190476 0.438377535101404 1
6 1 1 1 0.705607476635514 0.456490727532097 0.869436201780415 0.863777089783282 1 0.859527121001391 0.823529411764706 0.516666666666667 1
6 0 2 1 0.705607476635514 0.456490727532097 0.869436201780415 0.863777089783282 1 0.859527121001391 0.823529411764706 0.483333333333333 1
7 0 1 1 0.713629402756508 0.465288035450517 0.984472049689441 0.834586466165414 0.9984375 0.874804381846635 0.812939521800281 0.525 1
7 1 2 1 0.713629402756508 0.465288035450517 0.984472049689441 0.834586466165414 0.9984375 0.874804381846635 0.812939521800281 0.475 1
8 0 1 1 0.694656488549618 0.465149359886202 0.939078751857355 0.82179675994109 0.9984375 0.875968992248062 0.803571428571429 0.533234859675037 1
8 1 2 1 0.694656488549618 0.465149359886202 0.939078751857355 0.82179675994109 0.9984375 0.875968992248062 0.803571428571429 0.466765140324963 1
9 0 1 1 0.7046875 0.466472303206997 0.944858420268256 0.816793893129771 1 0.875968992248062 0.822377622377622 0.530882352941176 1
9 1 2 1 0.7046875 0.466472303206997 0.944858420268256 0.816793893129771 1 0.875968992248062 0.822377622377622 0.469117647058824 1
10 0 1 1 0.706708268330733 0.451704545454545 0.910714285714286 0.822458270106222 1 0.875583203732504 0.789261744966443 0.528803545051699 1
10 1 2 1 0.706708268330733 0.451704545454545 0.910714285714286 0.822458270106222 1 0.875583203732504 0.789261744966443 0.471196454948301 1
11 0 1 1 0.69375 0.427745664739884 0.998439937597504 0.787749287749288 1 0.875776397515528 0.774104683195592 0.562043795620438 1
11 1 2 1 0.69375 0.427745664739884 0.998439937597504 0.787749287749288 1 0.875776397515528 0.774104683195592 0.437956204379562 1
12 0 1 1 0.70606531881804 0.443804034582133 0.972519083969466 0.78984485190409 1 0.878048780487805 0.780082987551867 0.527326440177253 1
12 1 2 1 0.70606531881804 0.443804034582133 0.972519083969466 0.78984485190409 1 0.878048780487805 0.780082987551867 0.472673559822747 1
13 0 1 1 0.703875968992248 0.455235204855842 0.9984375 0.853512705530643 1 0.87673343605547 0.779452054794521 0.528718703976436 1
13 1 2 1 0.703875968992248 0.455235204855842 0.9984375 0.853512705530643 1 0.87673343605547 0.779452054794521 0.471281296023564 1
14 0 1 1 0.687888198757764 0.457575757575758 0.985981308411215 0.817484662576687 1 0.877488514548239 0.783216783216783 0.531478770131772 1
14 1 2 1 0.687888198757764 0.457575757575758 0.985981308411215 0.817484662576687 1 0.877488514548239 0.783216783216783 0.468521229868228 1
15 0 1 1 0.701399688958009 0.451237263464338 0.954819277108434 0.725321888412017 1 0.880239520958084 0.796940194714882 0.530791788856305 1
15 1 2 1 0.701399688958009 0.451237263464338 0.954819277108434 0.725321888412017 1 0.880239520958084 0.796940194714882 0.469208211143695 1
16 0 1 1 0.690402476780186 0.463810930576071 0.976816074188563 0.791476407914764 0.9984375 0.878971255673222 0.781292984869326 0.530102790014684 1
16 1 2 1 0.690402476780186 0.463810930576071 0.976816074188563 0.791476407914764 0.9984375 0.878971255673222 0.781292984869326 0.469897209985316 1
17 0 1 1 0.688172043010753 0.493846153846154 0.932634730538922 0.795058139534884 1 0.886535552193646 0.802244039270687 0.528718703976436 1
17 1 2 1 0.688172043010753 0.493846153846154 0.932634730538922 0.795058139534884 1 0.886535552193646 0.802244039270687 0.471281296023564 1
18 0 1 1 0.68960244648318 0.471641791044776 0.934477379095164 0.858789625360231 0.998435054773083 0.87874251497006 0.785911602209945 0.532846715328467 1
18 1 2 1 0.68960244648318 0.471641791044776 0.934477379095164 0.858789625360231 0.998435054773083 0.87874251497006 0.785911602209945 0.467153284671533 1
19 0 1 1 0.686635944700461 0.479041916167665 0.9359375 0.850359712230216 1 0.880774962742176 0.781593406593407 0.530791788856305 1
19 1 2 1 0.686635944700461 0.479041916167665 0.9359375 0.850359712230216 1 0.880774962742176 0.781593406593407 0.469208211143695 1
20 0 1 1 0.693023255813954 0.490712074303406 0.936236391912908 0.863235294117647 1 0.882179675994109 0.783898305084746 0.533333333333333 1
20 1 2 1 0.693023255813954 0.490712074303406 0.936236391912908 0.863235294117647 1 0.882179675994109 0.783898305084746 0.466666666666667 1
21 0 1 1 0.692667706708268 0.467153284671533 0.938080495356037 0.86924219910847 1 0.880952380952381 0.816618911174785 0.556868537666174 1
21 1 2 1 0.692667706708268 0.467153284671533 0.938080495356037 0.86924219910847 1 0.880952380952381 0.816618911174785 0.443131462333826 1
22 0 1 1 0.686427457098284 0.492307692307692 0.932917316692668 0.864784546805349 1 0.880530973451327 0.779202279202279 0.59601706970128 1
22 1 2 1 0.686427457098284 0.492307692307692 0.932917316692668 0.864784546805349 1 0.880530973451327 0.779202279202279 0.40398293029872 1
23 1 1 1 0.692667706708268 0.467836257309941 0.938530734632684 0.867669172932331 0.9984375 0.883136094674556 0.768465909090909 0.5 1
23 0 2 1 0.692667706708268 0.467836257309941 0.938530734632684 0.867669172932331 0.9984375 0.883136094674556 0.768465909090909 0.5 1
24 1 1 1 0.697204968944099 0.494573643410853 0.926905132192846 0.855051244509517 0.998435054773083 0.881656804733728 0.768571428571429 0.5 1
24 0 2 1 0.697204968944099 0.494573643410853 0.926905132192846 0.855051244509517 0.998435054773083 0.881656804733728 0.768571428571429 0.5 1
25 0 1 1 0.695718654434251 0.486322188449848 0.935975609756098 0.851528384279476 1 0.882179675994109 0.773691654879774 0.500784929356358 1
25 1 2 1 0.695718654434251 0.486322188449848 0.935975609756098 0.851528384279476 1 0.882179675994109 0.773691654879774 0.499215070643642 1
26 1 1 1 0.692068429237947 0.486280487804878 0.936484490398818 0.858600583090379 1 0.882005899705015 0.774964838255978 0.5 1
26 0 2 1 0.692068429237947 0.486280487804878 0.936484490398818 0.858600583090379 1 0.882005899705015 0.774964838255978 0.5 1
27 1 1 1 0.692667706708268 0.489296636085627 0.934477379095164 0.857771260997067 1 0.882352941176471 0.764192139737991 0.5 1
27 0 2 1 0.692667706708268 0.489296636085627 0.934477379095164 0.857771260997067 1 0.882352941176471 0.764192139737991 0.5 1
28 1 1 1 0.687402799377916 0.493808049535604 0.93562874251497 0.863836017569546 0.9984375 0.882352941176471 0.77 0.500782472613459 1
28 0 2 1 0.687402799377916 0.493808049535604 0.93562874251497 0.863836017569546 0.9984375 0.882352941176471 0.77 0.499217527386541 1
29 1 1 1 0.693146417445483 0.484802431610942 0.932917316692668 0.863703703703704 1 0.882005899705015 0.771306818181818 0.5 1
29 0 2 1 0.693146417445483 0.484802431610942 0.932917316692668 0.863703703703704 1 0.882005899705015 0.771306818181818 0.5 1
30 0 1 1 0.691833590138675 0.487767584097859 0.936267071320182 0.855670103092783 1 0.880882352941176 0.764450867052023 0.509493670886076 1
30 1 2 1 0.691833590138675 0.487767584097859 0.936267071320182 0.855670103092783 1 0.880882352941176 0.764450867052023 0.490506329113924 1
31 1 1 1 0.689335394126739 0.487767584097859 0.93603744149766 0.857142857142857 1 0.882352941176471 0.771428571428571 0.5 1
31 0 2 1 0.689335394126739 0.487767584097859 0.93603744149766 0.857142857142857 1 0.882352941176471 0.771428571428571 0.5 1
32 0 1 1 0.68798751950078 0.486238532110092 0.939169139465875 0.855474452554745 0.9984375 0.882179675994109 0.772079772079772 0.500782472613459 1
32 1 2 1 0.68798751950078 0.486238532110092 0.939169139465875 0.855474452554745 0.9984375 0.882179675994109 0.772079772079772 0.499217527386541 1
33 1 1 1 0.686427457098284 0.488549618320611 0.9375 0.869047619047619 1 0.883480825958702 0.773691654879774 0.5 1
33 0 2 1 0.686427457098284 0.488549618320611 0.9375 0.869047619047619 1 0.883480825958702 0.773691654879774 0.5 1
34 0 1 1 0.688473520249221 0.495356037151703 0.93603744149766 0.866965620328849 1 0.882179675994109 0.764450867052023 0.5078125 1
34 1 2 1 0.688473520249221 0.495356037151703 0.93603744149766 0.866965620328849 1 0.882179675994109 0.764450867052023 0.4921875 1
35 0 1 1 0.693623639191291 0.493808049535604 0.9359375 0.859675036927622 1 0.882179675994109 0.772206303724928 0.500784929356358 1
35 1 2 1 0.693623639191291 0.493808049535604 0.9359375 0.859675036927622 1 0.882179675994109 0.772206303724928 0.499215070643642 1
36 1 1 1 0.691019786910198 0.492307692307692 0.934032983508246 0.866666666666667 1 0.882179675994109 0.779202279202279 0.5 1
36 0 2 1 0.691019786910198 0.492307692307692 0.934032983508246 0.866666666666667 1 0.882179675994109 0.779202279202279 0.5 1
37 1 1 1 0.689230769230769 0.493827160493827 0.934477379095164 0.858823529411765 0.9984375 0.880530973451327 0.76978417266187 0.5 1
37 0 2 1 0.689230769230769 0.493827160493827 0.934477379095164 0.858823529411765 0.9984375 0.880530973451327 0.76978417266187 0.5 1
38 1 1 1 0.691472868217054 0.466374269005848 0.937784522003035 0.86950146627566 1 0.882005899705015 0.770981507823613 0.5 1
38 0 2 1 0.691472868217054 0.466374269005848 0.937784522003035 0.86950146627566 1 0.882005899705015 0.770981507823613 0.5 1
39 1 1 1 0.688751926040062 0.491525423728814 0.9359375 0.872944693572496 1 0.882005899705015 0.763503649635036 0.5 1
39 0 2 1 0.688751926040062 0.491525423728814 0.9359375 0.872944693572496 1 0.882005899705015 0.763503649635036 0.5 1
40 0 1 1 0.694573643410853 0.474626865671642 0.934883720930233 0.86924219910847 1 0.881831610044313 0.767676767676768 0.500782472613459 1
40 1 2 1 0.694573643410853 0.474626865671642 0.934883720930233 0.86924219910847 1 0.881831610044313 0.767676767676768 0.499217527386541 1
41 1 1 1 0.68895800933126 0.490769230769231 0.934477379095164 0.870870870870871 1 0.882005899705015 0.77524893314367 0.5 1
41 0 2 1 0.68895800933126 0.490769230769231 0.934477379095164 0.870870870870871 1 0.882005899705015 0.77524893314367 0.5 1
42 1 1 1 0.69242658423493 0.462773722627737 0.938066465256798 0.862017804154303 1 0.881656804733728 0.769230769230769 0.5 1
42 0 2 1 0.69242658423493 0.462773722627737 0.938066465256798 0.862017804154303 1 0.881656804733728 0.769230769230769 0.5 1
43 1 1 1 0.689708141321045 0.486322188449848 0.93558282208589 0.870342771982116 0.9984375 0.881656804733728 0.767142857142857 0.5 1
43 0 2 1 0.689708141321045 0.486322188449848 0.93558282208589 0.870342771982116 0.9984375 0.881656804733728 0.767142857142857 0.5 1
44 1 1 1 0.686335403726708 0.48411497730711 0.93603744149766 0.853550295857988 1 0.882352941176471 0.770212765957447 0.5 1
44 0 2 1 0.686335403726708 0.48411497730711 0.93603744149766 0.853550295857988 1 0.882352941176471 0.770212765957447 0.5 1
