"N1" "N2" "N3" "N4" "N5" "N6" "N7" "N8" "N9" "N10" "P" "prob"
153 "10" "88" "147" "145" "92" "141" "96" "138" 16 0.039793425306936 0.039793425306936
153 "147" "88" "145" "92" "141" "96" "138" "16" 10 0.063431224073445 0.063431224073445
153 "10" "147" "88" "145" "92" "141" "96" "138" 16 0.0622771896571799 0.0622771896571799
153 "10" "88" "145" "92" "141" "96" "138" "16" 147 0.0425783772574197 0.0425783772574197
153 "10" "88" "145" "92" "16" "138" "96" "141" 147 0.00606653025430466 0.00606653025430466
153 "147" "88" "145" "92" "16" "138" "96" "141" 10 0.00903762577851828 0.00903762577851828
153 "147" "88" "145" "92" "16" "96" "141" "138" 10 0.000553264185802079 0.000553264185802079
153 "147" "88" "145" "92" "16" "141" "96" "138" 10 1.36332009344473e-05 1.36332009344473e-05
153 "10" "88" "145" "92" "16" "96" "141" "147" 138 0.000213955019372325 0.000213955019372325
153 "10" "88" "145" "92" "16" "141" "96" "138" 147 8.58628074307004e-06 8.58628074307004e-06
153 "10" "88" "145" "92" "141" "138" "16" "96" 147 0.0249157293196191 0.0249157293196191
153 "10" "88" "145" "92" "141" "16" "138" "96" 147 0.0063309529455807 0.0063309529455807
153 "10" "147" "88" "145" "92" "16" "138" "96" 141 0.00887319995602968 0.00887319995602968
153 "147" "88" "145" "92" "141" "138" "16" "96" 10 0.0373049843214012 0.0373049843214012
153 "147" "88" "145" "92" "141" "16" "138" "96" 10 0.00944630987955747 0.00944630987955747
153 "10" "88" "147" "145" "92" "16" "138" "96" 141 0.00566973271638417 0.00566973271638417
153 "10" "88" "147" "145" "92" "16" "96" "141" 138 0.000388261927797415 0.000388261927797415
153 "10" "88" "147" "145" "92" "16" "141" "96" 138 8.55275569727649e-06 8.55275569727649e-06
153 "147" "88" "145" "92" "141" "16" "96" "138" 10 0.00104408302808531 0.00104408302808531
153 "10" "147" "88" "145" "92" "16" "96" "141" 138 0.000607634591081241 0.000607634591081241
153 "10" "147" "88" "145" "92" "16" "141" "96" 138 1.33851656283023e-05 1.33851656283023e-05
153 "10" "88" "145" "92" "141" "16" "96" "138" 147 0.000700843499510778 0.000700843499510778
153 "10" "88" "145" "92" "16" "141" "138" "96" 147 2.68321273220939e-06 2.68321273220939e-06
153 "10" "88" "145" "92" "16" "141" "147" "96" 138 5.92017574304588e-07 5.92017574304588e-07
