"N1" "N2" "N3" "N4" "N5" "N6" "N7" "P" "prob"
143 "94" "140" "90" "150" "13" 152 0.294020740072122 0.294020740072122
143 "90" "150" "13" "152" "140" 94 0.196570728667479 0.196570728667479
143 "90" "150" "13" "140" "94" 152 0.000374296829489904 0.000374296829489904
143 "94" "140" "90" "13" "150" 152 0.0297374863428216 0.0297374863428216
143 "94" "140" "90" "152" "13" 150 0.00325956966794626 0.00325956966794626
143 "94" "140" "90" "152" "150" 13 0.000642543507439098 0.000642543507439098
143 "94" "140" "90" "13" "152" 150 0.00993399760692954 0.00993399760692954
143 "90" "150" "13" "140" "152" 94 1.59760841855447e-05 1.59760841855447e-05
143 "90" "150" "13" "152" "94" 140 0.0375930195377898 0.0375930195377898
143 "94" "140" "90" "150" "152" 13 0.0467638105781986 0.0467638105781986
