"N1" "N2" "N3" "N4" "N5" "N6" "N7" "P" "prob"
94 "140" "143" "90" "150" "13" 152 0.33704734424433 0.33704734424433
94 "143" "90" "150" "13" "152" 140 0.185660738793389 0.185660738793389
94 "143" "90" "150" "152" "13" 140 0.0133501869032035 0.0133501869032035
94 "143" "90" "150" "140" "152" 13 0.00018462972752547 0.00018462972752547
94 "140" "143" "90" "13" "150" 152 0.0120473370049177 0.0120473370049177
94 "140" "143" "90" "152" "13" 150 0.000458678217008764 0.000458678217008764
94 "140" "143" "90" "152" "150" 13 0.000109377113286705 0.000109377113286705
94 "140" "143" "90" "13" "152" 150 0.00953876554631015 0.00953876554631015
94 "143" "90" "150" "140" "13" 152 0.000125839735339728 0.000125839735339728
94 "140" "143" "90" "150" "152" 13 0.0242358458235889 0.0242358458235889
