"N1" "N2" "N3" "N4" "N5" "N6" "N7" "P" "prob"
13 "150" "90" "143" "94" "140" 152 0.268494073941554 0.268494073941554
13 "152" "150" "90" "143" "94" 140 0.12222354811615 0.12222354811615
13 "152" "150" "90" "140" "94" 143 0.0149020838671438 0.0149020838671438
13 "152" "150" "90" "94" "140" 143 0.002607988616109 0.002607988616109
13 "150" "90" "143" "140" "94" 152 0.0743900301621228 0.0743900301621228
13 "150" "90" "143" "152" "140" 94 0.00038640903498601 0.00038640903498601
13 "150" "90" "143" "152" "94" 140 0.000139019681142276 0.000139019681142276
13 "150" "90" "143" "140" "152" 94 0.00389884854099176 0.00389884854099176
13 "152" "150" "90" "94" "143" 140 0.000387497473845912 0.000387497473845912
13 "152" "150" "90" "140" "143" 94 0.000374895191626259 0.000374895191626259
13 "152" "150" "90" "143" "140" 94 0.0356385688244742 0.0356385688244742
